id,comment,score,polarity,created_at,updated_at
1,"จารครับขอให้พูดเรืองอื่นน้อยหน่อยครับ ตอนหนึ่งจารคุยสไลย์หนึงเป็น2ชัวโมงครับ",0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
2,ขอบคุณครับ,75,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
3,สอนไวเกินครับ,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
4,เป็นวิชาที่เสียงอาจารย์กล่อมให้หลับได้ง่ายๆเพราะเน้นทฤษฎีและพื้นฐานความเข้าใจของนักศึกษาเลยอยากให้มีสิ่งที่มาช่วยดึงความสนใจหรือทดลองแบบทดสอบเล็กๆน้อยๆคับ,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
5,สอนเร็วไปค่ะ,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
6,สอนเร็วมาก,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
7,"อาจารย์เก่งจริงอันนี้ยอมรับ แต่แค่เราไม่สามารถตามความเก่งของอาจารย์ได้เบย ขอโทษด้วยครับ/ค่ะ",80,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
8,"บอกว่าข้อเขียนล้วนก่อนสอบตื่นเต้นดีครับ แต่ไม่อยากตื่นเต้นอีกแล้ว",92.31,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
9,"คาดหวังให้มันจบทุก Layer จริงๆ นะจารย์ 555+
อย่างที่อาจารย์เคยพูด ผมว่ามันโอเครที่จะลองสอนแบบ ไม่ต้องรอมากขนาดนั้นก็ได้ เนื้อหามันสนุกมากครับ อยากเรียนให้จบครบจริงๆ คือพวกผม Sec 3 เก่าตอนปี 1 จะมีคนติวหลักของวิชาอาจารย์โดยเฉพาะอยู่แล้ว อารมณ์แบบนักศึกษาแพทย์นั่งอ่านช่วยเหลือกันก่อนสอบเนื้อหาเดี๋ยวให้เป็นหน้าที่พวกผมสอนๆ กันเอง ก็ได้ครับ รุ่นน้องรุ่นนี้ก็มีบางส่วนทักรุ่นพวกผมอยู่หลายคน น้องเค้าไม่เข้าใจตรงไหนเค้าทักมาตลอดครับ ผมว่ามันทำได้ น่าจะมีช่องทางติดต่ออาจารย์ทางไลน์ก็ดีนะครับ คือว่า ผมค่อนข้างจะเสียเวลาทำความเข้าใจเนื้อหาบางส่วนเอง ถ้าถามตรงๆ อาจจะทำเนื้อหาต่างๆ ทันก่อนสอบ",87.67,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
10,"จารย์สอนดีแล้วค่ะ ทำให้เนื้อหาส่วนใหญ่เข้าใจง่ายขี้น ตอนอธิบายเพิ่มอาจารย์ลองเขียนใส่สักอย่างที่ทั้งห้องจะเห็นชัดไหมค่ะ",85.71,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
11,ขอคะแนนจากลมฟ้าอากาศกลับคืนมา,0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
12,"สอนดีนะครับ หมายถึงว่าผู้สอนเข้าใจเนื้อหาในการสอนทั้งหมด แต่สอนได้ไวมากครับ ช่วยลดความเร็วลงหน่อยก็ดีนะครับ",999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
13,"สอน lap เร็วเกินไปครับ",999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
14,"ปัญหาเพื่อนๆ ไม่ได้อยู่ที่เนื้อหาแลป ปัญหาอยู่ที่เพื่อนๆผม พิมพ์กันช้าครับ เลยไม่ทันเนื้อหาแลปกันเยอะ เลยปล่อยวิชานี้กัน ลองพิมพ์คำสั่งนึงแล้วหยุดสักนิดนึงอธิบายหน่อยว่าผลที่ควรจะออกมาเป็นอะไรแล้วค่อยกด Enter เพื่อโชว์ผลลัพธ์ก็ได้ครับ เปิดแชร์จอก็ดีครับบางคนมองไม่เห็นอันนี้ก็ปัญหาหลัก 
โดยรวมถือว่าดีมากครับขอโทดแทนเพื่อนผมด้วยนะครับ 555+ ปลายทาง = Destiny โชคชะตา อยู่คนละห้องกันแต่เพื่อนมาเล่าหลายๆ อย่างให้ฟังครับ",95.05,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
15,"อาจารย์สอนดีมากครับ แต่วิชายากมาครับ",62.5,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
16,ช่วยทำโครงงานจนเสร็จได้ครับ,66.67,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
17,"ทุกอย่าง Perfect",0,neutral,"2024-07-31 16:42:12","2024-07-31 16:42:12"
18,อยากให้ตอนปฎิบัติลดความเร็วลงหน่อยครับพิมพ์ตามไม่ค่อยจะทัน,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
19,รบกวนครูยกตัวอย่างการเขียนโค้ดให้เข้าใจกว่านี้นิดนึงครับ,66.67,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
20,ไม่ค่อยเข้าใจเรื่องที่เรียนเท่าไหร่เลยค่ะ,75,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
21,โดยรวมอาจารย์ผู้สอนมีการเรียนการสอนอยู่ในระดับเกณฑ์ที่ดีค่อนข้างพึงพอใจในการเรียนการสอนครับ,75,positive,"2024-07-31 16:42:12","2024-07-31 16:42:12"
22,สอนเร็วค่ะ,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
23,สอนเร็วไปนิดครับ,999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
24,"อาจารย์สอนดีนะคะ แต่ถ้ามีตัวอย่างให้ดูเยอะๆ และแบบฝึกที่มีโจทย์หลากหลายให้นักศึกษาลองทำจะดีมากๆค่ะ ถ้าได้คอมที่เร็วแรงกว่านี้จะดีมากๆๆเลยค่ะ",999,negative,"2024-07-31 16:42:12","2024-07-31 16:42:12"
