id,comment,score,polarity,created_at,updated_at
1,"เรียนแล้วสนุกมากได้คิดตามตลอดเลยค่ะ
อยากให้มีช่วงทำงานกลุ่มเยอะขึ้น
เวลาระดมหัวคิดกับเพื่อนแล้วสนุกดีค่ะ",85.71,positive,"2024-07-31 17:01:18","2024-07-31 17:01:18"
2,"จารครับขอให้พูดเรืองอื่นน้อยหน่อยครับ ตอนหนึ่งจารคุยสไลย์หนึงเป็น2ชัวโมงครับ",0,neutral,"2024-07-31 17:01:18","2024-07-31 17:01:18"
3,"เรียนกับอาจารย์ทั้งได้ความรู้ และสนุกค่ะ",66.67,positive,"2024-07-31 17:01:18","2024-07-31 17:01:18"
4,ดีคับ,75,positive,"2024-07-31 17:01:18","2024-07-31 17:01:18"
5,ดีมากครับ,83.33,positive,"2024-07-31 17:01:18","2024-07-31 17:01:18"
6,อาจารย์สอนดีมากๆครับ,75,positive,"2024-07-31 17:01:18","2024-07-31 17:01:18"
7,ดี,75,positive,"2024-07-31 17:01:18","2024-07-31 17:01:18"
8,อาจารย์สอนดีครับ,75,positive,"2024-07-31 17:01:18","2024-07-31 17:01:18"
9,ดีมากครับ,83.33,positive,"2024-07-31 17:01:18","2024-07-31 17:01:18"
10,ขอบคุณครับ,75,positive,"2024-07-31 17:01:18","2024-07-31 17:01:18"
11,"สอนแบบไม่มีกลางสอบภาค ไม่มีคะแนนเก็บ สอบปลายภาคอย่างเดียวข้อกา90ข้อ เขียน2 ไม่มีโอกาศได้ถอน ตอบผิดคะแนน1 จำกัดความคิดมากๆ",66.67,negative,"2024-07-31 17:01:18","2024-07-31 17:01:18"
12,ดีมากครับ,83.33,positive,"2024-07-31 17:01:18","2024-07-31 17:01:18"
13,สอนไวเกินครับ,999,negative,"2024-07-31 17:01:18","2024-07-31 17:01:18"
14,อาจารย์สอนเป็นวิชาการเกินไป,66.67,negative,"2024-07-31 17:01:18","2024-07-31 17:01:18"
15,เยี่ยมๆ,66.67,positive,"2024-07-31 17:01:18","2024-07-31 17:01:18"
16,"อาจารย์สอนเร็วจังค่ะ งื้อๆ  
สอนช้าอีกนิดนึง",999,negative,"2024-07-31 17:01:18","2024-07-31 17:01:18"
17,ดีมากครับ,83.33,positive,"2024-07-31 17:01:18","2024-07-31 17:01:18"
18,"2 วันสุดท้ายอาจารย์สอนดีมากเลยครับอยากให้เป็นแบบนี้ทั้งเทอมจะได้ไม่น่าเบื่อครับ",95.24,positive,"2024-07-31 17:01:18","2024-07-31 17:01:18"
19,อยากให้จารย์พูดช้าลงครับฟังไม่ค่อยจะทัน,80,negative,"2024-07-31 17:01:18","2024-07-31 17:01:18"
20,ปานกลาง,0,neutral,"2024-07-31 17:01:18","2024-07-31 17:01:18"
21,"อาจารย์สอนดีมาก สอนเข้าใจ แต่อยากให้ ชีท เอกสารประกอบการสอนของอาจารย์เป็นภาษาไทยด้วย",90.91,positive,"2024-07-31 17:01:18","2024-07-31 17:01:18"
22,"อาจารย์อธิบายค่อนข้างละเอียดค่ะ เข้าใจง่าย",66.67,positive,"2024-07-31 17:01:18","2024-07-31 17:01:18"
23,"มีเมตตา เข้าใจเด็ก และการสอนที่ดีแบบอกไม่ถูก แค่ตั้งใจฟังจดตัวอย่างตาม ทุกอย่างคือง่ายไปหมด หัวข้อทุกข้ออาจารย์ยกมาให้เห็นภาพจนเข้าใจไม่ปล่อยทิ้งไว้ลอยๆ แบะอาจารย์เป็นกลางมากในเรื่องของกฎเกณฑ์ และในเรื่องของที่รักที่ชัง หนูประทับใจมากเพราะหลายวิชาหนูมักเจอแบบนี้",999,negative,"2024-07-31 17:01:18","2024-07-31 17:01:18"
24,เป็นวิชาที่เสียงอาจารย์กล่อมให้หลับได้ง่ายๆเพราะเน้นทฤษฎีและพื้นฐานความเข้าใจของนักศึกษาเลยอยากให้มีสิ่งที่มาช่วยดึงความสนใจหรือทดลองแบบทดสอบเล็กๆน้อยๆคับ,0,neutral,"2024-07-31 17:01:18","2024-07-31 17:01:18"
25,"สอนดีแล้วครับ ออกสอบยากไปหน่อย ต้องประยุกต์",0,neutral,"2024-07-31 17:01:18","2024-07-31 17:01:18"
26,สอนเร็วไปค่ะ,999,negative,"2024-07-31 17:01:18","2024-07-31 17:01:18"
27,"อยากให้สอนช้ากว่านี้ สอนพอเข้าใจแต่พอทำแลปทำให้เห็นภาพการสอนมากกว่าการไม่ทำแลป",66.67,negative,"2024-07-31 17:01:18","2024-07-31 17:01:18"
28,สอนเร็วมาก,999,negative,"2024-07-31 17:01:18","2024-07-31 17:01:18"
29,ไม่รู้ว่าอาจารย์สอนเข้าหรือหนูไม่เข้าใจเอง,75,negative,"2024-07-31 17:01:18","2024-07-31 17:01:18"
